iter	Passed	Remaining
852	1956	337
853	1958	334
854	1960	332
855	1962	330
856	1964	327
857	1966	325
858	1968	323
859	1970	320
860	1972	318
861	1974	316
862	1976	313
863	1978	311
864	1980	309
865	1982	306
866	1984	304
867	1986	302
868	1988	299
869	1990	297
870	1992	295
871	1994	292
872	1996	290
873	1998	288
874	2000	285
875	2002	283
876	2004	281
877	2006	278
878	2008	276
879	2010	274
880	2012	271
881	2014	269
882	2016	267
883	2018	264
884	2020	262
885	2022	260
886	2024	257
887	2026	255
888	2028	253
889	2030	251
890	2032	248
891	2035	246
892	2037	244
893	2039	241
894	2041	239
895	2043	237
896	2045	234
897	2047	232
898	2049	230
899	2051	227
900	2053	225
901	2055	223
902	2057	221
903	2059	218
904	2061	216
905	2063	214
906	2065	211
907	2067	209
908	2069	207
909	2071	204
910	2073	202
911	2075	200
912	2077	198
913	2079	195
914	2082	193
915	2084	191
916	2086	188
917	2088	186
918	2090	184
919	2092	181
920	2094	179
921	2096	177
922	2098	175
923	2100	172
924	2102	170
925	2104	168
926	2106	165
927	2108	163
928	2110	161
929	2112	158
930	2114	156
931	2116	154
932	2118	152
933	2120	149
934	2122	147
935	2124	145
936	2126	142
937	2128	140
938	2130	138
939	2132	136
940	2134	133
941	2136	131
942	2138	129
943	2140	126
944	2142	124
945	2144	122
946	2146	120
947	2148	117
948	2150	115
949	2152	113
950	2154	111
951	2156	108
952	2158	106
953	2160	104
954	2163	101
955	2164	99
956	2166	97
957	2168	95
958	2170	92
959	2172	90
960	2174	88
961	2176	85
962	2178	83
963	2180	81
964	2182	79
965	2184	76
966	2186	74
967	2188	72
968	2190	70
969	2192	67
970	2194	65
971	2196	63
972	2198	61
973	2201	58
974	2202	56
975	2205	54
976	2207	51
977	2209	49
978	2211	47
979	2213	45
980	2215	42
981	2217	40
982	2218	38
983	2220	36
984	2222	33
985	2225	31
986	2227	29
987	2229	27
988	2231	24
989	2233	22
990	2235	20
991	2237	18
992	2239	15
993	2241	13
994	2243	11
995	2245	9
996	2247	6
997	2249	4
998	2251	2
999	2253	0
